x
46	28	14
38	21	5
41	26	7
62	47	24
50	35	6
46	28	4
44	22	11
155	130	134
235	210	232
255	232	255
207	189	231
184	166	224
87	69	145
107	84	174
109	84	178
110	85	179
109	86	176
108	88	175
107	87	174
109	89	176
45	27	13
36	19	3
40	25	6
52	37	14
46	30	4
47	29	7
45	23	12
143	118	122
245	220	242
242	218	254
209	190	235
183	163	222
83	62	141
112	89	179
107	82	176
106	81	175
100	77	167
102	82	169
106	86	173
109	89	176
44	26	14
37	19	5
39	24	5
47	35	11
46	32	6
44	27	7
42	22	11
96	71	74
232	207	229
250	225	255
209	190	235
178	160	218
80	61	140
102	79	170
111	86	180
101	77	171
95	75	164
99	81	167
104	86	172
106	88	174
43	25	13
36	20	5
34	21	2
47	35	13
47	32	11
41	24	6
43	24	10
53	31	33
197	173	197
216	191	231
208	189	235
184	166	226
77	58	139
104	83	176
100	76	172
99	75	169
95	76	165
98	80	166
101	83	169
100	82	168
44	27	17
34	18	5
31	18	1
38	27	7
42	29	12
39	23	7
46	28	14
65	44	43
207	183	207
227	202	242
214	195	241
175	157	219
77	57	142
96	75	170
99	78	173
91	70	163
96	80	169
95	81	168
96	82	169
96	82	169
46	29	19
31	17	4
32	20	4
33	22	4
39	27	11
37	23	10
40	22	10
91	70	69
214	190	214
234	209	251
209	189	240
194	175	241
71	51	138
97	77	174
93	71	169
91	71	166
92	78	166
91	77	164
93	79	166
95	81	168
43	29	18
34	20	9
30	18	4
33	24	9
37	28	13
34	22	8
34	18	5
79	59	60
214	192	213
232	210	249
190	172	224
201	184	252
68	49	138
91	74	170
97	77	174
95	78	172
88	75	163
83	73	160
85	75	162
90	80	167
40	26	15
34	22	10
19	9	0
34	24	12
34	24	12
33	21	9
37	20	10
52	32	33
205	184	201
228	206	244
214	193	250
104	86	160
79	60	150
92	74	173
87	70	166
94	77	173
94	81	171
87	77	164
89	79	166
93	83	170
39	25	12
29	17	5
24	14	4
32	24	13
32	24	11
30	20	8
35	21	12
27	9	9
173	151	164
216	195	228
191	169	231
95	74	153
80	61	151
94	77	173
87	69	168
92	77	172
86	76	165
81	72	161
84	74	163
87	77	166
38	24	11
30	18	6
23	13	4
29	20	13
31	23	12
29	19	9
34	19	12
33	15	15
139	117	129
252	228	255
177	155	219
100	78	161
77	58	150
82	65	161
86	70	168
94	80	175
82	71	163
80	71	160
86	76	165
88	78	167
38	25	8
32	20	6
21	12	5
24	17	9
28	22	10
25	17	6
32	17	10
40	22	22
52	31	38
183	160	189
175	152	220
97	74	162
80	63	155
81	66	161
91	77	174
88	74	169
79	68	160
82	71	163
91	80	172
95	84	176
41	28	11
33	21	7
22	13	6
22	15	9
25	18	8
23	15	4
30	15	8
42	24	22
32	11	16
141	118	147
118	95	163
101	78	168
76	59	151
81	66	161
91	77	172
83	69	164
77	66	160
81	70	162
91	80	172
93	82	174
43	30	13
31	19	5
23	14	7
23	16	10
21	17	8
22	15	5
30	17	8
41	24	17
32	11	16
169	146	175
173	148	216
94	71	161
78	61	155
82	67	162
81	67	162
84	73	167
77	66	160
81	70	164
90	79	173
91	80	174
43	30	13
31	19	5
24	15	8
22	15	9
20	15	9
23	16	6
30	18	6
41	24	16
35	14	19
152	129	158
143	118	186
100	75	166
77	57	152
80	65	160
86	73	165
77	66	158
79	68	162
83	72	166
92	81	175
92	81	175
43	30	13
35	23	9
26	17	8
21	14	8
21	16	12
24	17	9
27	15	1
42	25	15
28	8	10
185	160	190
138	113	181
100	77	167
75	58	154
82	68	165
85	74	166
87	76	168
80	66	161
86	72	167
94	80	175
93	79	174
43	30	11
40	27	11
29	19	9
20	11	4
24	17	11
24	15	6
24	12	0
43	26	18
26	5	12
180	156	188
132	107	172
105	83	168
73	56	152
89	75	172
85	72	164
80	67	159
80	67	159
88	74	169
98	84	179
98	84	179
46	31	10
48	35	18
35	21	10
29	16	7
21	11	0
28	18	6
28	16	4
31	16	13
97	76	91
245	221	255
144	123	180
126	108	184
70	55	146
81	67	165
86	71	166
83	68	161
86	73	165
84	74	163
78	68	157
94	84	173
45	31	5
49	34	13
37	21	8
33	19	8
32	20	6
25	15	3
20	7	1
39	22	28
211	190	209
240	219	252
206	188	240
129	113	184
69	56	146
81	66	167
88	72	170
82	67	160
87	74	166
85	74	166
79	68	160
90	79	171
49	34	3
50	34	8
